date,avg_nfem_rate,avg_closing_rate,month_high,month_low
2024-12-01,1553.72958,1553.725,1678.0,1500.0
2025-01-01,1535.9462,1536.4545454545455,1565.0,1440.0
2025-02-01,1500.6976304347827,1504.1347826086956,1520.0,1480.0
2025-03-01,1526.369885,1533.0,1615.0,1480.0
2025-04-01,1595.051605263158,1602.7894736842106,1655.0,1500.0
2025-05-01,1594.7904217391304,1595.0982608695654,1615.0,1560.0
2025-06-01,1549.7745736842105,1550.7578947368422,1584.0,1528.0
2025-07-01,1530.34705,1531.6886363636365,1538.0,1515.0
2025-08-01,1534.749838095238,1535.1804761904762,1543.0,1525.0
2025-09-01,1497.789480952381,1498.3828571428571,1531.0,1470.0
2025-10-01,1459.5406045454545,1459.7890909090909,1482.0,1415.01
2025-11-01,1443.786645,1445.2845,1462.5,1430.0
2025-12-01,1450.9738476190475,1452.48,1469.9,1427.0
2026-01-01,1416.496719047619,1416.5285714285715,1438.5,1367.0
2026-02-01,1355.52863,1356.295,1396.0,1318.0
2026-03-01,1379.98188,1381.1825000000001,1425.0,1340.0
2026-04-01,1361.2184849999999,1361.513185,1390.0,1334.0
2026-05-01,1369.9955666666667,1370.158888888889,1377.99,1350.0
2026-06-01,1366.9901666666667,1368.1442857142856,1392.0,1350.0
2026-07-01,1373.8024904761903,1373.9214285714286,1387.0,1359.0
