date,exchange_rate,source
2015-01-01,169.68,CBN Official Rate (Historical)
2015-02-01,179.74,CBN Official Rate (Historical)
2015-03-01,197.07,CBN Official Rate (Historical)
2015-04-01,197.0,CBN Official Rate (Historical)
2015-05-01,197.0,CBN Official Rate (Historical)
2015-06-01,196.92,CBN Official Rate (Historical)
2015-07-01,196.97,CBN Official Rate (Historical)
2015-08-01,197.0,CBN Official Rate (Historical)
2015-09-01,197.0,CBN Official Rate (Historical)
2015-10-01,196.99,CBN Official Rate (Historical)
2015-11-01,196.99,CBN Official Rate (Historical)
2015-12-01,196.99,CBN Official Rate (Historical)
2016-01-01,197.0,CBN Official Rate (Historical)
2016-02-01,197.0,CBN Official Rate (Historical)
2016-03-01,197.0,CBN Official Rate (Historical)
2016-04-01,197.0,CBN Official Rate (Historical)
2016-05-01,197.0,CBN Official Rate (Historical)
2016-06-01,231.761363636364,CBN Official Rate (Historical)
2016-07-01,294.572222222222,CBN Official Rate (Historical)
2016-08-01,309.730434782609,CBN Official Rate (Historical)
2016-09-01,305.225,CBN Official Rate (Historical)
2016-10-01,305.2125,CBN Official Rate (Historical)
2016-11-01,305.181818181818,CBN Official Rate (Historical)
2016-12-01,305.223684210526,CBN Official Rate (Historical)
2017-01-01,305.202380952381,CBN Official Rate (Historical)
2017-02-01,305.3125,CBN Official Rate (Historical)
2017-03-01,306.402173913043,CBN Official Rate (Historical)
2017-04-01,306.052777777778,CBN Official Rate (Historical)
2017-05-01,305.538095238095,CBN Official Rate (Historical)
2017-06-01,305.715,CBN Official Rate (Historical)
2017-07-01,305.861904761905,CBN Official Rate (Historical)
2017-08-01,305.667391304348,CBN Official Rate (Historical)
2017-09-01,305.886842105263,CBN Official Rate (Historical)
2017-10-01,305.623809523809,CBN Official Rate (Historical)
2017-11-01,305.904545454545,CBN Official Rate (Historical)
2017-12-01,306.313888888889,CBN Official Rate (Historical)
2018-01-01,305.777272727273,CBN Official Rate (Historical)
2018-02-01,305.895,CBN Official Rate (Historical)
2018-03-01,305.742857142857,CBN Official Rate (Historical)
2018-04-01,305.61,CBN Official Rate (Historical)
2018-05-01,305.82619047619,CBN Official Rate (Historical)
2018-06-01,305.871052631579,CBN Official Rate (Historical)
2018-07-01,305.814285714286,CBN Official Rate (Historical)
2018-08-01,306.057142857143,CBN Official Rate (Historical)
2018-09-01,306.2725,CBN Official Rate (Historical)
2018-10-01,306.505,CBN Official Rate (Historical)
2018-11-01,306.711904761905,CBN Official Rate (Historical)
2018-12-01,306.921052631579,CBN Official Rate (Historical)
2019-01-01,306.845454545455,CBN Official Rate (Historical)
2019-02-01,306.768181818182,CBN Official Rate (Historical)
2019-03-01,306.923809523809,CBN Official Rate (Historical)
2019-04-01,306.9625,CBN Official Rate (Historical)
2019-05-01,306.95,CBN Official Rate (Historical)
2019-06-01,306.947058823529,CBN Official Rate (Historical)
2019-07-01,306.936956521739,CBN Official Rate (Historical)
2019-08-01,306.9325,CBN Official Rate (Historical)
2019-09-01,306.919047619048,CBN Official Rate (Historical)
2019-10-01,306.963636363636,CBN Official Rate (Historical)
2019-11-01,306.9475,CBN Official Rate (Historical)
2019-12-01,306.95,CBN Official Rate (Historical)
2020-01-01,306.959090909091,CBN Official Rate (Historical)
2020-02-01,306.955,CBN Official Rate (Historical)
2020-03-01,326.625,CBN Official Rate (Historical)
2020-04-01,361.0,CBN Official Rate (Historical)
2020-05-01,361.0,CBN Official Rate (Historical)
2020-06-01,361.0,CBN Official Rate (Historical)
2020-07-01,377.190476190476,CBN Official Rate (Historical)
2020-08-01,381.0,CBN Official Rate (Historical)
2020-09-01,381.0,CBN Official Rate (Historical)
2020-10-01,381.0,CBN Official Rate (Historical)
2020-11-01,381.0,CBN Official Rate (Historical)
2020-12-01,381.0,CBN Official Rate (Historical)
2021-01-01,381.0,CBN Official Rate (Historical)
2021-02-01,381.0,CBN Official Rate (Historical)
2021-03-01,381.0,CBN Official Rate (Historical)
2021-04-01,381.0,CBN Official Rate (Historical)
2021-05-01,400.126666666667,CBN Official Rate (Historical)
2021-06-01,410.119047619048,CBN Official Rate (Historical)
2021-07-01,410.121,CBN Official Rate (Historical)
2021-08-01,410.385454545455,CBN Official Rate (Historical)
2021-09-01,410.795454545455,CBN Official Rate (Historical)
2021-10-01,411.247368421053,CBN Official Rate (Historical)
2021-11-01,411.738636363636,CBN Official Rate (Historical)
2021-12-01,414.335714285714,CBN Official Rate (Historical)
2022-01-01,415.96,CBN Official Rate (Historical)
2022-02-01,416.95,CBN Official Rate (Historical)
2022-03-01,415.721739130435,CBN Official Rate (Historical)
2022-04-01,415.526315789474,CBN Official Rate (Historical)
2022-05-01,415.95,CBN Official Rate (Historical)
2022-06-01,415.638095238095,CBN Official Rate (Historical)
2022-07-01,417.260526315789,CBN Official Rate (Historical)
2022-08-01,426.060869565217,CBN Official Rate (Historical)
2022-09-01,435.570454545455,CBN Official Rate (Historical)
2022-10-01,440.846842105263,CBN Official Rate (Historical)
2022-11-01,445.581363636364,CBN Official Rate (Historical)
2022-12-01,450.7075,CBN Official Rate (Historical)
2023-01-01,460.992857142857,CBN Official Rate (Historical)
2023-02-01,460.835,CBN Official Rate (Historical)
2023-03-01,460.97347826087,CBN Official Rate (Historical)
2023-04-01,460.95625,CBN Official Rate (Historical)
2023-05-01,462.009523809524,CBN Official Rate (Historical)
2023-06-01,610.707222222222,CBN Official Rate (Historical)
2023-07-01,770.316571428571,CBN Official Rate (Historical)
2023-08-01,762.120086956522,CBN Official Rate (Historical)
2023-09-01,762.01855,CBN Official Rate (Historical)
2023-10-01,796.937571428571,CBN Official Rate (Historical)
2023-11-01,835.396545454545,CBN Official Rate (Historical)
2023-12-01,899.065157894737,CBN Official Rate (Historical)
2024-01-01,944.083604545454,CBN Official Rate (Historical)
2024-02-01,1505.30276190476,CBN Official Rate (Historical)
2024-03-01,1511.34305,CBN Official Rate (Historical)
2024-04-01,1237.05772222222,CBN Official Rate (Historical)
2024-05-01,1436.06768181818,CBN Official Rate (Historical)
2024-06-01,1482.26623529412,CBN Official Rate (Historical)
2024-07-01,1560.22465217391,CBN Official Rate (Historical)
2024-08-01,1587.39436363636,CBN Official Rate (Historical)
2024-09-01,1618.21775,CBN Official Rate (Historical)
2024-10-01,1641.11886363636,CBN Official Rate (Historical)
2024-11-01,1670.77642857143,CBN Official Rate (Historical)
2024-12-01,1553.72958,NFEM Rate
2025-01-01,1535.9462,NFEM Rate
2025-02-01,1500.6976304347827,NFEM Rate
2025-03-01,1526.369885,NFEM Rate
2025-04-01,1595.051605263158,NFEM Rate
2025-05-01,1594.7904217391304,NFEM Rate
2025-06-01,1549.7745736842105,NFEM Rate
2025-07-01,1530.34705,NFEM Rate
2025-08-01,1534.749838095238,NFEM Rate
2025-09-01,1497.789480952381,NFEM Rate
2025-10-01,1459.5406045454545,NFEM Rate
2025-11-01,1443.786645,NFEM Rate
2025-12-01,1450.9738476190475,NFEM Rate
2026-01-01,1416.496719047619,NFEM Rate
2026-02-01,1355.52863,NFEM Rate
2026-03-01,1379.98188,NFEM Rate
2026-04-01,1361.218485,NFEM Rate
2026-05-01,1369.9955666666667,NFEM Rate
2026-06-01,1366.9901666666667,NFEM Rate
2026-07-01,1373.8024904761903,NFEM Rate
