date,headline_inflation_yoy,headline_inflation_avg,food_inflation_yoy,food_inflation_avg,core_inflation_yoy,core_inflation_avg,core_ex_energy_yoy,core_ex_energy_avg
2015-01-01,8.2,8.1,9.2,9.5,6.8,6.9,7.1,7.1
2015-02-01,8.4,8.1,9.4,9.5,7.0,6.9,7.1,7.1
2015-03-01,8.5,8.2,9.4,9.5,7.5,6.9,7.5,7.1
2015-04-01,8.7,8.2,9.5,9.5,7.7,6.9,7.7,7.1
2015-05-01,9.0,8.3,9.8,9.5,8.3,7.0,8.3,7.1
2015-06-01,9.2,8.4,10.0,9.5,8.4,7.0,8.4,7.1
2015-07-01,9.2,8.5,10.0,9.6,8.8,7.2,8.7,7.2
2015-08-01,9.3,8.6,10.1,9.6,9.0,7.4,8.8,7.4
2015-09-01,9.4,8.7,10.2,9.6,8.9,7.6,8.7,7.6
2015-10-01,9.3,8.76,10.13,9.68,8.74,7.81,8.57,7.8
2015-11-01,9.37,8.88,10.32,9.78,8.73,8.02,8.49,7.98
2015-12-01,9.55,9.01,10.59,9.9,8.73,8.22,8.44,8.16
2016-01-01,9.62,9.13,10.64,10.02,8.84,8.39,8.53,8.28
2016-02-01,11.38,9.39,11.35,10.18,11.04,8.73,9.48,8.48
2016-03-01,12.77,9.75,12.74,10.47,12.17,9.13,10.31,8.72
2016-04-01,13.72,10.18,13.19,10.79,13.35,9.61,10.79,8.98
2016-05-01,15.58,10.75,14.86,11.22,15.05,10.2,12.3,9.32
2016-06-01,16.48,11.37,15.3,11.67,16.22,10.86,13.32,9.75
2016-07-01,17.13,12.04,15.8,12.16,16.93,11.55,13.63,10.17
2016-08-01,17.61,12.74,16.43,12.7,17.21,12.25,13.88,10.59
2016-09-01,17.85,13.45,16.62,13.24,17.67,12.98,14.12,11.04
2016-10-01,18.33,14.21,17.09,13.82,18.07,13.76,14.58,11.54
2016-11-01,18.48,14.96,17.19,14.39,18.24,14.54,14.87,12.07
2016-12-01,18.55,15.7,17.39,14.95,18.05,15.31,14.7,12.59
2017-01-01,18.72,16.44,17.82,15.54,17.87,16.04,14.54,13.08
2017-02-01,17.78,16.96,18.53,16.13,16.01,16.44,13.97,13.44
2017-03-01,17.26,17.32,18.44,16.6,15.4,16.68,13.58,13.71
2017-04-01,17.24,17.59,19.3,17.11,14.75,16.77,13.74,13.94
2017-05-01,16.25,17.63,19.27,17.48,13.02,16.57,12.2,13.91
2017-06-01,16.1,17.58,19.91,17.87,12.46,16.22,12.02,13.79
2017-07-01,16.05,17.47,20.28,18.25,12.21,15.8,12.35,13.68
2017-08-01,16.01,17.33,20.25,18.57,12.3,15.37,12.7,13.57
2017-09-01,15.98,17.17,20.32,18.88,12.12,14.9,12.72,13.45
2017-10-01,15.91,16.97,20.31,19.14,12.14,14.41,12.72,13.3
2017-11-01,15.9,16.76,20.31,19.39,12.21,13.93,12.75,13.13
2017-12-01,15.37,16.5,19.42,19.55,12.09,13.46,12.6,12.97
2018-01-01,15.13,16.22,18.92,19.62,12.09,13.01,12.68,12.82
2018-02-01,14.33,15.93,17.59,19.52,11.71,12.67,12.34,12.69
2018-03-01,13.34,15.6,16.08,19.29,11.18,12.33,11.85,12.55
2018-04-01,12.48,15.2,14.8,18.89,10.92,12.02,11.64,12.38
2018-05-01,11.61,14.79,13.45,18.36,10.71,11.83,11.6,12.32
2018-06-01,11.23,14.37,12.98,17.75,10.39,11.65,11.19,12.25
2018-07-01,11.14,13.95,12.85,17.1,10.18,11.48,10.81,12.11
2018-08-01,11.23,13.55,13.16,16.5,10.02,11.28,10.62,11.93
2018-09-01,11.28,13.16,13.31,15.92,9.84,11.09,10.48,11.74
2018-10-01,11.26,12.78,13.28,15.36,9.88,10.9,10.49,11.56
2018-11-01,11.28,12.41,13.3,14.8,9.79,10.7,10.44,11.37
2018-12-01,11.44,12.1,13.56,14.35,9.8,10.51,10.43,11.19
2019-01-01,11.37,11.8,13.51,13.93,9.9,10.34,10.62,11.02
2019-02-01,11.31,11.56,13.47,13.62,9.8,10.19,10.53,10.88
2019-03-01,11.25,11.4,13.45,13.42,9.46,10.04,10.24,10.75
2019-04-01,11.37,11.31,13.7,13.34,9.28,9.91,9.94,10.61
2019-05-01,11.4,11.3,13.79,13.37,9.03,9.77,9.64,10.44
2019-06-01,11.22,11.3,13.56,13.42,8.84,9.64,9.35,10.29
2019-07-01,11.08,11.29,13.39,13.46,8.8,9.52,9.42,10.17
2019-08-01,11.02,11.27,13.17,13.46,8.68,9.41,9.22,10.05
2019-09-01,11.24,11.27,13.51,13.47,8.94,9.34,9.43,9.97
2019-10-01,11.61,11.3,14.09,13.54,8.88,9.25,9.45,9.88
2019-11-01,11.85,11.35,14.48,13.65,8.99,9.19,9.48,9.8
2019-12-01,11.98,11.4,14.67,13.74,9.33,9.15,9.95,9.76
2020-01-01,12.13,11.46,14.85,13.86,9.35,9.11,9.81,9.7
2020-02-01,12.2,11.54,14.9,13.98,9.43,9.09,9.95,9.66
2020-03-01,12.26,11.62,14.98,14.11,9.73,9.11,10.22,9.66
2020-04-01,12.34,11.71,15.03,14.22,9.98,9.17,10.57,9.72
2020-05-01,12.4,11.79,15.04,14.33,10.12,9.27,10.7,9.81
2020-06-01,12.56,11.9,15.18,14.46,10.13,9.37,10.57,9.93
2020-07-01,12.82,12.05,15.48,14.63,10.1,9.48,10.64,10.03
2020-08-01,13.22,12.23,16.0,14.87,10.52,9.64,11.07,10.18
2020-09-01,13.71,12.44,16.66,15.13,10.58,9.77,11.16,10.33
2020-10-01,14.23,12.66,17.38,15.42,11.14,9.96,11.71,10.52
2020-11-01,14.89,12.92,18.3,15.75,11.05,10.14,11.6,10.69
2020-12-01,15.75,13.25,19.56,16.17,11.37,10.31,11.83,10.85
2021-01-01,16.47,13.62,20.57,16.66,11.85,10.52,12.5,11.08
