date,external_reserves_usd_million
2015-01-01,32385.71404352
2015-02-01,29566.98589334
2015-03-01,29357.21324791
2015-04-01,29829.75170634
2015-05-01,28566.54216417
2015-06-01,28335.20978036
2015-07-01,31222.81405973
2015-08-01,30637.16522049
2015-09-01,29880.2062842
2015-10-01,30336.3574885
2015-11-01,29263.01901877
2015-12-01,28284.8227381
2016-01-01,27607.84801867
2016-02-01,27811.81931175
2016-03-01,27336.37943593
2016-04-01,26614.81336855
2016-05-01,26594.38789956
2016-06-01,26505.49909121
2016-07-01,25581.58492705
2016-08-01,25031.9262214
2016-09-01,23806.51122527
2016-10-01,23689.86516359
2016-11-01,25081.21981074
2016-12-01,26990.57821144
2017-01-01,28592.97961603
2017-02-01,29990.3583724
2017-03-01,29996.38392942
2017-04-01,30749.28
2017-05-01,29811.84590441
2017-06-01,30340.96498312
2017-07-01,30898.95821783
2017-08-01,31278.95125726
2017-09-01,33159.73383519
2017-10-01,34332.58225457
2017-11-01,38207.96077058
2017-12-01,39353.49033837
2018-01-01,41150.28022427
2018-02-01,45276.5788648
2018-03-01,46730.53640654
2018-04-01,47438.22155668
2018-05-01,46923.01269813
2018-06-01,47157.89590357
2018-07-01,45814.20195195
2018-08-01,44606.7929731
2018-09-01,42608.94988271
2018-10-01,40651.23433932
2018-11-01,43348.25349663
2018-12-01,42594.84285275
2019-01-01,42515.6596352
2019-02-01,42328.96053139
2019-03-01,44793.08345704
2019-04-01,44474.29116559
2019-05-01,44898.41625592
2019-06-01,44747.02462492
2019-07-01,43971.93362702
2019-08-01,42062.42357215
2019-09-01,40689.88520798
2019-10-01,39614.79988852
2019-11-01,38799.55434096
2019-12-01,38092.72020072
2020-01-01,36730.57325384
2020-02-01,36599.88995038
2020-03-01,33689.05331424
2020-04-01,36459.47800102
2020-05-01,36203.16598699
2020-06-01,35779.67803085
2020-07-01,35559.80419848
2020-08-01,35511.92622709
2020-09-01,35964.52684048
2020-10-01,35580.47865929
2020-11-01,34938.19920454
2020-12-01,36476.89169057
2021-01-01,35440.8751485
2021-02-01,34461.45837489
2021-03-01,35137.83950442
2021-04-01,34320.72712804
2021-05-01,34180.21175483
2021-06-01,32990.71492314
2021-07-01,33492.39792756
2021-08-01,35979.76449952
2021-09-01,41571.36800538
2021-10-01,41300.11111724
2021-11-01,40478.08024277
2021-12-01,40230.8032288
2022-01-01,39319.72151395
2022-02-01,39668.53424359
2022-03-01,39275.44576533
2022-04-01,38540.45268538
2022-05-01,38600.5805337
2022-06-01,39163.6500739
2022-07-01,38309.16591341
2022-08-01,38353.32984627
2022-09-01,37394.38154333
2022-10-01,36872.09334047
2022-11-01,36900.47239487
2022-12-01,36608.22737534
2023-01-01,36395.49302467
2023-02-01,36048.4029353
2023-03-01,35144.28712045
2023-04-01,34957.62728898
2023-05-01,34387.69620344
2023-06-01,33713.40255098
2023-07-01,33306.14
2023-08-01,32977.15229855
2023-09-01,32787.82091445
2023-10-01,33687.99421171
2023-11-01,32356.13924407
2023-12-01,33217.57361173
2024-01-01,32260.92548824
2024-02-01,33677.44388589
2024-03-01,32292.1923614
2024-04-01,32804.0945521
2024-05-01,32821.57059984
2024-06-01,34762.21016022
2024-07-01,36507.97673628
2024-08-01,35919.84377081
2024-09-01,39289.77302104
2024-10-01,39709.94532981
2024-11-01,40334.08896772
2024-12-01,40187.56093081
