date,cpi_index,inflation_yoy
2015-01-01,,8.16
2015-02-01,,8.36
2015-03-01,,8.49
2015-04-01,,8.66
2015-05-01,,9.0
2015-06-01,,9.17
2015-07-01,,9.22
2015-08-01,,9.34
2015-09-01,,9.39
2015-10-01,,9.3
2015-11-01,,9.37
2015-12-01,,9.55
2016-01-01,,9.62
2016-02-01,,11.38
2016-03-01,,12.77
2016-04-01,,13.72
2016-05-01,,15.58
2016-06-01,,16.48
2016-07-01,,17.13
2016-08-01,,17.61
2016-09-01,,17.85
2016-10-01,,18.33
2016-11-01,,18.48
2016-12-01,,18.55
2017-01-01,,18.72
2017-02-01,,17.78
2017-03-01,,17.26
2017-04-01,,17.24
2017-05-01,,16.25
2017-06-01,,16.1
2017-07-01,,16.05
2017-08-01,,16.01
2017-09-01,,15.98
2017-10-01,,15.91
2017-11-01,,15.9
2017-12-01,,15.37
2018-01-01,,15.13
2018-02-01,,14.33
2018-03-01,,13.34
2018-04-01,,12.48
2018-05-01,,11.61
2018-06-01,,11.23
2018-07-01,,11.14
2018-08-01,,11.23
2018-09-01,,11.28
2018-10-01,,11.26
2018-11-01,,11.28
2018-12-01,,11.44
2019-01-01,,11.37
2019-02-01,,11.31
2019-03-01,,11.25
2019-04-01,,11.37
2019-05-01,,11.4
2019-06-01,,11.22
2019-07-01,,11.08
2019-08-01,,11.02
2019-09-01,,11.24
2019-10-01,,11.61
2019-11-01,,11.85
2019-12-01,,11.98
2020-01-01,,12.13
2020-02-01,,12.2
2020-03-01,,12.26
2020-04-01,,12.34
2020-05-01,,12.4
2020-06-01,,12.56
2020-07-01,,12.82
2020-08-01,,13.22
2020-09-01,,13.71
2020-10-01,,14.23
2020-11-01,,14.89
2020-12-01,,15.75
2021-01-01,,16.47
2021-02-01,,17.33
2021-03-01,,18.17
2021-04-01,,18.12
2021-05-01,,17.93
2021-06-01,,17.75
2021-07-01,,17.38
2021-08-01,,17.01
2021-09-01,,16.63
2021-10-01,,15.99
2021-11-01,,15.4
2021-12-01,,15.63
2022-01-01,,15.6
2022-02-01,,15.7
2022-03-01,,15.92
2022-04-01,,16.82
2022-05-01,,17.71
2022-06-01,,18.6
2022-07-01,,19.64
2022-08-01,,20.52
2022-09-01,,20.77
2022-10-01,,21.09
2022-11-01,,21.47
2022-12-01,,21.34
2023-01-01,,21.82
2023-02-01,,21.91
2023-03-01,,22.04
2023-04-01,,22.22
2023-05-01,,22.41
2023-06-01,,22.79
2023-07-01,,24.08
2023-08-01,,25.8
2023-09-01,,26.72
2023-10-01,,27.33
2023-11-01,,28.2
2023-12-01,,28.92
2024-01-01,,29.9
2024-02-01,,31.7
2024-03-01,,33.2
2024-04-01,,33.69
2024-05-01,,33.95
2024-06-01,,34.19
2024-07-01,,33.4
2024-08-01,,32.15
2024-09-01,,32.7
2024-10-01,,33.88
2024-11-01,,34.6
2024-12-01,,34.8
2025-01-01,110.7,24.5
2025-02-01,112.9,23.18
2025-03-01,117.3,24.23
2025-04-01,119.5,23.71
2025-05-01,121.4,23.0
2025-06-01,123.4,22.2
2025-07-01,125.9,21.9
2025-08-01,126.8,20.1
2025-09-01,127.7,18.0
2025-10-01,128.9,16.05
2025-11-01,130.5,14.45
